target,type,region,n_missing,n_fit_rows,bilateral_rule_applies,mirror,predictors
N-Ro-ANS,angle,nasomaxillary,11,13,False,,SMF-SMFR;LPPR-PPR-MPPR;LW-ES-LWR;ZFR-OrR-SMFR;ZTsR-PoR-TPR;age_years;sex_M
PP-SP,distance,palatal_pterygoid,1,23,True,PPR-SP,SO-CP;ANS-PNS;MasR-TPR;ZMi-CP;TMR-A;age_years;sex_M
Ro-ANS,distance,nasomaxillary,11,13,False,,MPPR-SP;MPP-MPPR;MPP-SP;S-MPP;MPPR-CP;age_years;sex_M
S-LPP,distance,palatal_pterygoid,1,23,False,,S-PNS;TMR-A;ZMi-CP;ANS-CP;ZMs-CP;age_years;sex_M
S-MPP,distance,palatal_pterygoid,1,23,False,,TMR-A;ANS-CP;ZMs-CP;N-ANS;ZMi-CP;age_years;sex_M
S-N-ANS,angle,nasomaxillary,11,13,False,,Mas-Po-TP;TP-S-TPR;S-CP;N-SNM;SNM-SNMR;age_years;sex_M
SMP-PNS,distance,nasomaxillary,2,22,False,,MasR-SP;N-ES;ZMsR-CP;ZMs-MO;MO-ZMs;age_years;sex_M
SNA,angle,nasomaxillary,11,13,False,,N-S-BA;S-CP;N-ES-SO;N-SO-BA;TP-S-TPR;age_years;sex_M
TM-CP,distance,temporomandibular,8,16,False,TMR-CP,N-Ro;ZTs-CP;ZTsR-CP;MOR-SP;MasR-TPR;age_years;sex_M
TM-MO,distance,temporomandibular,8,16,False,TMR-MOR,N-Ro;Mas-CP;MasR-TPR;MO-MOR;S-BA;age_years;sex_M
TM-SP,distance,temporomandibular,8,16,False,TMR-SP,MPP-MPPR;LPP-LPPR;MPP-SP;MPPR-SP;PPR-SP;age_years;sex_M
TM-TMR,distance,temporomandibular,8,16,False,,MPP-MPPR;MPPR-SP;MPP-SP;LPPR-PPR-MPPR;LPP-LPPR;age_years;sex_M
TMR-A,distance,temporomandibular,11,13,False,,S-MPP;MPP-SP;S-N;N-SO;MPP-MPPR;age_years;sex_M
TMR-CP,distance,temporomandibular,8,16,False,TM-CP,N-Ro;Mas-CP;MasR-TPR;ZTs-CP;MO-MOR;age_years;sex_M
TMR-MOR,distance,temporomandibular,8,16,False,TM-MO,N-Ro;Mas-CP;MasR-TPR;MO-MOR;BA-CP;age_years;sex_M
TMR-SP,distance,temporomandibular,8,16,False,TM-SP,LPPR-PPR-MPPR;MPPR-SP;MPP-MPPR;MPP-SP;ZF-SMF;age_years;sex_M
ZF-ZMs-ZMi,angle,zygomatic,1,23,True,ZFR-ZMsR-ZMiR,Po-Mas;PoR-MasR;MOR-CP;ZMs-SP;ZMs-CP;age_years;sex_M
ZF-ZO-ZX,angle,zygomatic,1,23,True,ZFR-ZOR-ZXR,ZFR-ZOR-ZXR;LPPR-S-MPPR;LPP-PP-MPP;TP-S-TPR;ZFR-OrR-SMFR;age_years;sex_M
ZMi-CP,distance,zygomatic,1,23,True,ZMiR-CP,MPP-CP;S-MPP;ZMiR-CP;MPPR-CP;ZMs-CP;age_years;sex_M
ZMi-SP,distance,zygomatic,1,23,True,ZMiR-SP,N-BA;ZMiR-SP;ZF-ZFR;N-SO;ZTsR-SP;age_years;sex_M
ZMi-ZMiR,distance,zygomatic,1,23,False,,ZMiR-SP;ZTsR-SP;N-BA;ZF-ZFR;ZMs-ZTi;age_years;sex_M
ZMi-ZMs,distance,zygomatic,1,23,True,ZMiR-ZMsR,ZMiR-ZMsR;ZMs-ZTi;ZMsR-ZTiR;ZMiR-SP;MPPR-CP;age_years;sex_M
ZMs-MO-TM,angle,zygomatic,8,16,False,ZMsR-MOR-TMR,ZMiR-CP;MPPR-CP;ZMs-CP;ZXR-ZFR;S-MPP;age_years;sex_M
ZMsR-MOR-TMR,angle,zygomatic,8,16,False,ZMs-MO-TM,ZMs-CP;S-LPP;S-MPP;MPP-CP;MPP-SP;age_years;sex_M
ZTi-ZMi-ZMs,angle,zygomatic,1,23,False,,ZMiR-CP;MPP-CP;ZMsR-ZTiR;MPP-SP;ZOR-SP;age_years;sex_M
ZTi-ZX-ZMs,angle,zygomatic,1,23,True,ZTiR-ZXR-ZMsR,ZTiR-ZXR-ZMsR;ZOR-LOrR;ZO-SP;ZOR-SP;MPP-CP;age_years;sex_M
ZX-ZF,distance,zygomatic,1,23,True,ZXR-ZFR,ZXR-ZFR;MPP-CP;S-MPP;MPPR-CP;MPP-SP;age_years;sex_M
