variable,type,region,side,mirror,n_missing,pct_missing
TP-Po,distance,temporomandibular,L,TPR-PoR,0,0.0
TP-S-TPR,angle,temporomandibular,bilateral,,0,0.0
TP-SP,distance,temporomandibular,L,TPR-SP,0,0.0
TP-TPR,distance,temporomandibular,bilateral,,0,0.0
TPR-CP,distance,temporomandibular,R,,0,0.0
TPR-PoR,distance,temporomandibular,R,TP-Po,0,0.0
TPR-SP,distance,temporomandibular,R,TP-SP,0,0.0
ZF-LOrL-SMF,angle,zygomatic,L,ZFR-LOrR-SMFR,0,0.0
ZF-Or-SMF,angle,zygomatic,L,ZFR-OrR-SMFR,0,0.0
ZF-SMF,distance,zygomatic,L,ZFR-SMFR,0,0.0
ZF-ZFR,distance,zygomatic,bilateral,,0,0.0
ZF-ZMs-SMF,angle,zygomatic,L,ZFR-ZMsR-SMFR,0,0.0
ZFR-LOrR-SMFR,angle,zygomatic,R,ZF-LOrL-SMF,0,0.0
ZFR-OrR-SMFR,angle,zygomatic,R,ZF-Or-SMF,0,0.0
ZFR-SMFR,distance,zygomatic,R,ZF-SMF,0,0.0
ZFR-ZMsR-SMFR,angle,zygomatic,R,ZF-ZMs-SMF,0,0.0
ZFR-ZMsR-ZMiR,angle,zygomatic,R,ZF-ZMs-ZMi,0,0.0
ZFR-ZOR-ZXR,angle,zygomatic,R,ZF-ZO-ZX,0,0.0
ZMiR-CP,distance,zygomatic,R,ZMi-CP,0,0.0
ZMiR-SP,distance,zygomatic,R,ZMi-SP,0,0.0
ZMiR-ZMsR,distance,zygomatic,R,ZMi-ZMs,0,0.0
ZMs-CP,distance,zygomatic,L,ZMsR-CP,0,0.0
ZMs-MO,distance,zygomatic,L,ZMsR-MOR,0,0.0
ZMs-SP,distance,zygomatic,L,ZMsR-SP,0,0.0
ZMs-ZMsR,distance,zygomatic,bilateral,,0,0.0
ZMs-ZTi,distance,zygomatic,L,ZMsR-ZTiR,0,0.0
ZMsR-CP,distance,zygomatic,R,ZMs-CP,0,0.0
ZMsR-MOR,distance,zygomatic,R,ZMs-MO,0,0.0
ZMsR-SP,distance,zygomatic,R,ZMs-SP,0,0.0
ZMsR-ZTiR,distance,zygomatic,R,ZMs-ZTi,0,0.0
ZO-CP,distance,zygomatic,L,ZOR-CP,0,0.0
ZO-LOrL,distance,zygomatic,L,ZOR-LOrR,0,0.0
ZO-SP,distance,zygomatic,L,ZOR-SP,0,0.0
ZOR-CP,distance,zygomatic,R,ZO-CP,0,0.0
ZOR-LOrR,distance,zygomatic,R,ZO-LOrL,0,0.0
ZOR-SP,distance,zygomatic,R,ZO-SP,0,0.0
ZTi-ZF-ZMs,angle,zygomatic,L,ZTiR-ZFR-ZMsR,0,0.0
ZTiR-ZFR-ZMsR,angle,zygomatic,R,ZTi-ZF-ZMs,0,0.0
ZTiR-ZXR-ZMsR,angle,zygomatic,R,ZTi-ZX-ZMs,0,0.0
ZTs-CP,distance,zygomatic,L,ZTsR-CP,0,0.0
ZTs-Po,distance,zygomatic,L,ZTsR-PoR,0,0.0
ZTs-Po-Mas,angle,zygomatic,L,ZTsR-PoR-MasR,0,0.0
ZTs-Po-TP,angle,zygomatic,L,ZTsR-PoR-TPR,0,0.0
ZTs-SP,distance,zygomatic,L,ZTsR-SP,0,0.0
ZTsR-CP,distance,zygomatic,R,ZTs-CP,0,0.0
ZTsR-PoR,distance,zygomatic,R,ZTs-Po,0,0.0
ZTsR-PoR-MasR,angle,zygomatic,R,ZTs-Po-Mas,0,0.0
ZTsR-PoR-TPR,angle,zygomatic,R,ZTs-Po-TP,0,0.0
ZTsR-SP,distance,zygomatic,R,ZTs-SP,0,0.0
ZXR-ZFR,distance,zygomatic,R,ZX-ZF,0,0.0
