variable,type,region,side,landmarks,mirror,n_missing,pct_missing
N-SNM,distance,cranial_base,L,N|SNM,,0,0.0
N-SO,distance,cranial_base,midline,N|SO,,0,0.0
N-SO-BA,angle,cranial_base,midline,N|SO|BA,,0,0.0
PP-CP,distance,palatal_pterygoid,L,PP,PPR-CP,0,0.0
PP-SP,distance,palatal_pterygoid,L,PP,PPR-SP,1,4.17
PPR-CP,distance,palatal_pterygoid,R,PPR,PP-CP,0,0.0
PPR-SP,distance,palatal_pterygoid,R,PPR,PP-SP,0,0.0
Po-Mas,distance,temporomandibular,L,Po|Mas,PoR-MasR,0,0.0
PoR-MasR,distance,temporomandibular,R,PoR|MasR,Po-Mas,0,0.0
Ro-ANS,distance,nasomaxillary,midline,Ro|ANS,,11,45.83
S-BA,distance,cranial_base,midline,S|BA,,0,0.0
S-CP,distance,cranial_base,midline,S,,0,0.0
S-ES,distance,cranial_base,midline,S|ES,,0,0.0
S-LPP,distance,palatal_pterygoid,L,S|LPP,,1,4.17
S-MPP,distance,palatal_pterygoid,L,S|MPP,,1,4.17
S-N,distance,cranial_base,midline,S|N,,0,0.0
S-N-ANS,angle,nasomaxillary,midline,S|N|ANS,,11,45.83
S-PNS,distance,nasomaxillary,midline,S|PNS,,0,0.0
S-SO,distance,cranial_base,midline,S|SO,,0,0.0
S-SO-BA,angle,cranial_base,midline,S|SO|BA,,0,0.0
SMF-SMFR,distance,orbital,bilateral,SMF|SMFR,,0,0.0
SMP-PNS,distance,nasomaxillary,midline,SMP|PNS,,2,8.33
SNA,angle,nasomaxillary,midline,S|N|A,,11,45.83
SNM-SNMR,distance,cranial_base,bilateral,SNM|SNMR,,0,0.0
SO-BA,distance,cranial_base,midline,SO|BA,,0,0.0
SO-CP,distance,cranial_base,midline,SO,,0,0.0
SO-SP,distance,cranial_base,midline,SO,,0,0.0
TM-CP,distance,temporomandibular,L,TM,TMR-CP,8,33.33
TM-MO,distance,temporomandibular,L,TM|MO,TMR-MOR,8,33.33
TM-SP,distance,temporomandibular,L,TM,TMR-SP,8,33.33
TM-TMR,distance,temporomandibular,bilateral,TM|TMR,,8,33.33
TMR-A,distance,temporomandibular,R,TMR|A,,11,45.83
TMR-CP,distance,temporomandibular,R,TMR,TM-CP,8,33.33
TMR-MOR,distance,temporomandibular,R,TMR|MOR,TM-MO,8,33.33
TMR-SP,distance,temporomandibular,R,TMR,TM-SP,8,33.33
TP-Po,distance,temporomandibular,L,TP|Po,TPR-PoR,0,0.0
TP-S-TPR,angle,temporomandibular,bilateral,TP|S|TPR,,0,0.0
TP-SP,distance,temporomandibular,L,TP,TPR-SP,0,0.0
TP-TPR,distance,temporomandibular,bilateral,TP|TPR,,0,0.0
TPR-CP,distance,temporomandibular,R,TPR,,0,0.0
TPR-PoR,distance,temporomandibular,R,TPR|PoR,TP-Po,0,0.0
TPR-SP,distance,temporomandibular,R,TPR,TP-SP,0,0.0
ZF-LOrL-SMF,angle,zygomatic,L,ZF|LOrL|SMF,ZFR-LOrR-SMFR,0,0.0
ZF-Or-SMF,angle,zygomatic,L,ZF|Or|SMF,ZFR-OrR-SMFR,0,0.0
ZF-SMF,distance,zygomatic,L,ZF|SMF,ZFR-SMFR,0,0.0
ZF-ZFR,distance,zygomatic,bilateral,ZF|ZFR,,0,0.0
ZF-ZMs-SMF,angle,zygomatic,L,ZF|ZMs|SMF,ZFR-ZMsR-SMFR,0,0.0
ZF-ZMs-ZMi,angle,zygomatic,L,ZF|ZMs|ZMi,ZFR-ZMsR-ZMiR,1,4.17
ZF-ZO-ZX,angle,zygomatic,L,ZF|ZO|ZX,ZFR-ZOR-ZXR,1,4.17
ZFR-LOrR-SMFR,angle,zygomatic,R,ZFR|LOrR|SMFR,ZF-LOrL-SMF,0,0.0
ZFR-OrR-SMFR,angle,zygomatic,R,ZFR|OrR|SMFR,ZF-Or-SMF,0,0.0
ZFR-SMFR,distance,zygomatic,R,ZFR|SMFR,ZF-SMF,0,0.0
ZFR-ZMsR-SMFR,angle,zygomatic,R,ZFR|ZMsR|SMFR,ZF-ZMs-SMF,0,0.0
ZFR-ZMsR-ZMiR,angle,zygomatic,R,ZFR|ZMsR|ZMiR,ZF-ZMs-ZMi,0,0.0
ZFR-ZOR-ZXR,angle,zygomatic,R,ZFR|ZOR|ZXR,ZF-ZO-ZX,0,0.0
ZMi-CP,distance,zygomatic,L,ZMi,ZMiR-CP,1,4.17
ZMi-SP,distance,zygomatic,L,ZMi,ZMiR-SP,1,4.17
ZMi-ZMiR,distance,zygomatic,bilateral,ZMi|ZMiR,,1,4.17
ZMi-ZMs,distance,zygomatic,L,ZMi|ZMs,ZMiR-ZMsR,1,4.17
ZMiR-CP,distance,zygomatic,R,ZMiR,ZMi-CP,0,0.0
ZMiR-SP,distance,zygomatic,R,ZMiR,ZMi-SP,0,0.0
ZMiR-ZMsR,distance,zygomatic,R,ZMiR|ZMsR,ZMi-ZMs,0,0.0
ZMs-CP,distance,zygomatic,L,ZMs,ZMsR-CP,0,0.0
ZMs-MO,distance,zygomatic,L,ZMs|MO,ZMsR-MOR,0,0.0
ZMs-MO-TM,angle,zygomatic,L,ZMs|MO|TM,ZMsR-MOR-TMR,8,33.33
ZMs-SP,distance,zygomatic,L,ZMs,ZMsR-SP,0,0.0
ZMs-ZMsR,distance,zygomatic,bilateral,ZMs|ZMsR,,0,0.0
ZMs-ZTi,distance,zygomatic,L,ZMs|ZTi,ZMsR-ZTiR,0,0.0
ZMsR-CP,distance,zygomatic,R,ZMsR,ZMs-CP,0,0.0
ZMsR-MOR,distance,zygomatic,R,ZMsR|MOR,ZMs-MO,0,0.0
ZMsR-MOR-TMR,angle,zygomatic,R,ZMsR|MOR|TMR,ZMs-MO-TM,8,33.33
ZMsR-SP,distance,zygomatic,R,ZMsR,ZMs-SP,0,0.0
ZMsR-ZTiR,distance,zygomatic,R,ZMsR|ZTiR,ZMs-ZTi,0,0.0
ZO-CP,distance,zygomatic,L,ZO,ZOR-CP,0,0.0
ZO-LOrL,distance,zygomatic,L,ZO|LOrL,ZOR-LOrR,0,0.0
ZO-SP,distance,zygomatic,L,ZO,ZOR-SP,0,0.0
ZOR-CP,distance,zygomatic,R,ZOR,ZO-CP,0,0.0
ZOR-LOrR,distance,zygomatic,R,ZOR|LOrR,ZO-LOrL,0,0.0
ZOR-SP,distance,zygomatic,R,ZOR,ZO-SP,0,0.0
ZTi-ZF-ZMs,angle,zygomatic,L,ZTi|ZF|ZMs,ZTiR-ZFR-ZMsR,0,0.0
ZTi-ZMi-ZMs,angle,zygomatic,L,ZTi|ZMi|ZMs,,1,4.17
ZTi-ZX-ZMs,angle,zygomatic,L,ZTi|ZX|ZMs,ZTiR-ZXR-ZMsR,1,4.17
ZTiR-ZFR-ZMsR,angle,zygomatic,R,ZTiR|ZFR|ZMsR,ZTi-ZF-ZMs,0,0.0
ZTiR-ZXR-ZMsR,angle,zygomatic,R,ZTiR|ZXR|ZMsR,ZTi-ZX-ZMs,0,0.0
ZTs-CP,distance,zygomatic,L,ZTs,ZTsR-CP,0,0.0
ZTs-Po,distance,zygomatic,L,ZTs|Po,ZTsR-PoR,0,0.0
ZTs-Po-Mas,angle,zygomatic,L,ZTs|Po|Mas,ZTsR-PoR-MasR,0,0.0
ZTs-Po-TP,angle,zygomatic,L,ZTs|Po|TP,ZTsR-PoR-TPR,0,0.0
ZTs-SP,distance,zygomatic,L,ZTs,ZTsR-SP,0,0.0
ZTsR-CP,distance,zygomatic,R,ZTsR,ZTs-CP,0,0.0
ZTsR-PoR,distance,zygomatic,R,ZTsR|PoR,ZTs-Po,0,0.0
ZTsR-PoR-MasR,angle,zygomatic,R,ZTsR|PoR|MasR,ZTs-Po-Mas,0,0.0
ZTsR-PoR-TPR,angle,zygomatic,R,ZTsR|PoR|TPR,ZTs-Po-TP,0,0.0
ZTsR-SP,distance,zygomatic,R,ZTsR,ZTs-SP,0,0.0
ZX-ZF,distance,zygomatic,L,ZX|ZF,ZXR-ZFR,1,4.17
ZXR-ZFR,distance,zygomatic,R,ZXR|ZFR,ZX-ZF,0,0.0
